,Class,x1,y1,x2,y2,Frame
7,cell phone,341,302,376,330,frame2400.jpg
10,laptop,193,384,462,538,frame2400.jpg
13,laptop,728,370,893,490,frame2400.jpg
17,laptop,550,378,718,466,frame2400.jpg
18,laptop,586,424,810,700,frame2400.jpg
0,cell phone,615,226,659,268,frame2401.jpg
1,keyboard,638,566,722,672,frame2401.jpg
4,cell phone,370,534,417,568,frame2401.jpg
5,cell phone,343,302,377,330,frame2401.jpg
8,laptop,260,383,462,536,frame2401.jpg
11,laptop,728,370,892,490,frame2401.jpg
15,laptop,550,378,718,466,frame2401.jpg
16,laptop,586,423,810,700,frame2401.jpg
1,keyboard,638,566,722,672,frame2402.jpg
2,mouse,370,534,416,568,frame2402.jpg
3,cell phone,370,534,416,568,frame2402.jpg
4,cell phone,342,302,378,330,frame2402.jpg
8,laptop,196,384,462,538,frame2402.jpg
14,laptop,728,370,891,491,frame2402.jpg
15,laptop,550,377,718,466,frame2402.jpg
16,laptop,586,424,810,700,frame2402.jpg
1,keyboard,636,565,722,672,frame2403.jpg
2,cell phone,370,534,417,568,frame2403.jpg
3,cell phone,342,303,376,329,frame2403.jpg
6,laptop,192,384,463,537,frame2403.jpg
11,laptop,726,371,893,490,frame2403.jpg
12,laptop,550,377,716,466,frame2403.jpg
14,laptop,587,424,810,700,frame2403.jpg
0,keyboard,300,462,390,524,frame2404.jpg
1,keyboard,636,565,722,671,frame2404.jpg
3,mouse,370,534,416,568,frame2404.jpg
4,cell phone,370,534,416,568,frame2404.jpg
5,cell phone,342,302,376,330,frame2404.jpg
8,laptop,194,384,462,538,frame2404.jpg
12,laptop,549,378,717,466,frame2404.jpg
14,laptop,726,372,894,491,frame2404.jpg
16,laptop,586,423,810,700,frame2404.jpg
0,keyboard,300,462,389,524,frame2405.jpg
1,keyboard,638,565,722,671,frame2405.jpg
3,mouse,370,534,416,568,frame2405.jpg
4,cell phone,370,534,416,568,frame2405.jpg
5,cell phone,343,302,376,330,frame2405.jpg
8,laptop,194,385,462,537,frame2405.jpg
13,laptop,549,378,716,466,frame2405.jpg
14,laptop,726,371,896,491,frame2405.jpg
16,laptop,586,423,810,700,frame2405.jpg
0,keyboard,637,565,721,672,frame2406.jpg
3,cell phone,370,534,417,568,frame2406.jpg
4,cell phone,344,302,374,330,frame2406.jpg
7,laptop,192,384,464,539,frame2406.jpg
12,laptop,549,378,716,465,frame2406.jpg
14,laptop,726,370,894,490,frame2406.jpg
15,laptop,586,424,810,700,frame2406.jpg
0,keyboard,638,566,722,672,frame2407.jpg
2,cell phone,370,534,416,568,frame2407.jpg
4,cell phone,344,302,376,329,frame2407.jpg
6,laptop,195,386,462,538,frame2407.jpg
13,laptop,726,370,897,490,frame2407.jpg
14,laptop,549,379,717,466,frame2407.jpg
15,laptop,586,424,810,700,frame2407.jpg
0,keyboard,638,565,722,672,frame2408.jpg
2,cell phone,370,534,416,568,frame2408.jpg
3,cell phone,344,302,373,330,frame2408.jpg
5,laptop,220,382,462,539,frame2408.jpg
11,laptop,727,370,897,490,frame2408.jpg
13,laptop,549,380,717,466,frame2408.jpg
14,laptop,586,424,810,700,frame2408.jpg
1,keyboard,638,565,722,671,frame2409.jpg
2,cell phone,370,534,416,568,frame2409.jpg
3,cell phone,626,211,669,272,frame2409.jpg
5,cell phone,342,302,376,330,frame2409.jpg
8,laptop,240,384,462,538,frame2409.jpg
13,laptop,549,379,717,466,frame2409.jpg
14,laptop,727,370,898,490,frame2409.jpg
16,laptop,586,424,810,700,frame2409.jpg
0,keyboard,638,565,722,671,frame2410.jpg
2,mouse,370,534,416,568,frame2410.jpg
3,cell phone,370,534,417,568,frame2410.jpg
4,cell phone,343,302,375,330,frame2410.jpg
5,cell phone,626,211,668,272,frame2410.jpg
9,laptop,194,384,462,538,frame2410.jpg
14,laptop,550,379,717,465,frame2410.jpg
15,laptop,727,370,898,490,frame2410.jpg
17,laptop,586,424,810,700,frame2410.jpg
0,keyboard,638,565,722,671,frame2411.jpg
2,mouse,370,535,416,567,frame2411.jpg
3,cell phone,370,534,416,568,frame2411.jpg
4,cell phone,629,215,669,274,frame2411.jpg
5,cell phone,343,302,376,329,frame2411.jpg
9,laptop,194,384,462,538,frame2411.jpg
14,laptop,549,380,717,466,frame2411.jpg
15,laptop,727,370,899,490,frame2411.jpg
17,laptop,586,424,810,700,frame2411.jpg
0,keyboard,638,565,722,671,frame2412.jpg
2,cell phone,631,219,673,275,frame2412.jpg
3,cell phone,370,534,416,568,frame2412.jpg
4,cell phone,342,302,374,329,frame2412.jpg
8,laptop,194,384,462,538,frame2412.jpg
14,laptop,550,379,718,466,frame2412.jpg
15,laptop,726,369,901,490,frame2412.jpg
16,laptop,586,424,810,700,frame2412.jpg
0,keyboard,638,566,722,672,frame2413.jpg
2,cell phone,631,221,673,274,frame2413.jpg
3,cell phone,370,534,416,568,frame2413.jpg
4,cell phone,342,302,375,329,frame2413.jpg
8,laptop,192,385,463,538,frame2413.jpg
13,laptop,550,379,718,466,frame2413.jpg
15,laptop,726,369,900,490,frame2413.jpg
16,laptop,586,425,810,700,frame2413.jpg
0,keyboard,294,463,392,524,frame2414.jpg
1,keyboard,638,565,722,671,frame2414.jpg
3,cell phone,630,221,674,275,frame2414.jpg
4,cell phone,370,534,416,568,frame2414.jpg
5,cell phone,344,302,373,328,frame2414.jpg
9,laptop,227,383,462,538,frame2414.jpg
15,laptop,726,368,900,490,frame2414.jpg
16,laptop,550,380,718,466,frame2414.jpg
17,laptop,586,425,810,700,frame2414.jpg
0,cell phone,629,220,672,275,frame2415.jpg
1,keyboard,638,566,722,672,frame2415.jpg
3,cell phone,370,534,416,568,frame2415.jpg
4,cell phone,341,302,374,329,frame2415.jpg
8,laptop,195,384,462,538,frame2415.jpg
13,laptop,550,379,718,466,frame2415.jpg
15,laptop,726,370,900,490,frame2415.jpg
16,laptop,586,424,810,700,frame2415.jpg
0,keyboard,637,565,721,672,frame2416.jpg
2,cell phone,629,219,672,276,frame2416.jpg
3,mouse,370,535,417,567,frame2416.jpg
4,cell phone,370,534,417,568,frame2416.jpg
5,cell phone,342,302,373,329,frame2416.jpg
8,laptop,196,385,462,537,frame2416.jpg
14,laptop,550,380,718,466,frame2416.jpg
15,laptop,726,370,900,490,frame2416.jpg
17,laptop,586,424,810,700,frame2416.jpg
0,cell phone,630,224,672,276,frame2417.jpg
1,keyboard,638,565,722,672,frame2417.jpg
3,tie,894,498,953,638,frame2417.jpg
4,cell phone,370,534,416,568,frame2417.jpg
5,cell phone,344,302,374,330,frame2417.jpg
9,laptop,196,386,462,538,frame2417.jpg
14,laptop,549,379,717,466,frame2417.jpg
15,laptop,727,370,900,490,frame2417.jpg
17,laptop,586,423,810,700,frame2417.jpg
1,keyboard,637,566,722,672,frame2418.jpg
2,cell phone,370,534,417,568,frame2418.jpg
3,cell phone,346,300,378,330,frame2418.jpg
4,tie,897,496,954,638,frame2418.jpg
8,laptop,197,385,462,538,frame2418.jpg
13,laptop,726,370,900,491,frame2418.jpg
15,laptop,549,379,717,466,frame2418.jpg
16,laptop,586,424,810,700,frame2418.jpg
0,keyboard,301,463,389,524,frame2419.jpg
1,tie,888,494,954,634,frame2419.jpg
2,cell phone,342,298,376,340,frame2419.jpg
3,keyboard,638,565,722,672,frame2419.jpg
5,cell phone,370,534,417,568,frame2419.jpg
9,laptop,225,383,462,538,frame2419.jpg
14,laptop,549,380,717,466,frame2419.jpg
15,laptop,727,370,898,490,frame2419.jpg
17,laptop,586,424,810,700,frame2419.jpg
0,keyboard,638,565,722,671,frame2420.jpg
1,mouse,745,576,780,622,frame2420.jpg
3,cell phone,342,299,374,330,frame2420.jpg
4,cell phone,370,534,417,568,frame2420.jpg
7,laptop,196,385,462,538,frame2420.jpg
13,laptop,726,370,898,490,frame2420.jpg
14,laptop,549,380,717,466,frame2420.jpg
16,laptop,586,424,810,700,frame2420.jpg
0,mouse,727,572,783,620,frame2421.jpg
1,keyboard,638,566,722,672,frame2421.jpg
3,cell phone,370,534,417,567,frame2421.jpg
4,cell phone,346,302,373,336,frame2421.jpg
7,laptop,195,386,462,538,frame2421.jpg
12,laptop,727,370,895,491,frame2421.jpg
14,laptop,549,380,717,466,frame2421.jpg
16,laptop,586,425,810,700,frame2421.jpg
0,mouse,722,581,780,619,frame2422.jpg
1,cell phone,336,308,359,337,frame2422.jpg
2,keyboard,638,564,722,672,frame2422.jpg
5,cell phone,370,534,417,568,frame2422.jpg
9,laptop,194,384,463,538,frame2422.jpg
13,laptop,727,370,891,490,frame2422.jpg
15,laptop,549,379,717,466,frame2422.jpg
17,laptop,586,424,810,700,frame2422.jpg
0,cell phone,336,308,360,337,frame2423.jpg
1,keyboard,637,564,722,672,frame2423.jpg
3,mouse,370,535,416,567,frame2423.jpg
4,cell phone,370,534,417,568,frame2423.jpg
8,laptop,192,384,463,538,frame2423.jpg
12,laptop,727,370,888,490,frame2423.jpg
14,laptop,549,380,715,466,frame2423.jpg
15,laptop,586,424,810,700,frame2423.jpg
0,keyboard,299,463,389,524,frame2424.jpg
3,keyboard,638,564,722,672,frame2424.jpg
4,cell phone,370,534,417,568,frame2424.jpg
5,cell phone,347,300,375,330,frame2424.jpg
9,laptop,196,384,462,538,frame2424.jpg
11,laptop,726,371,880,490,frame2424.jpg
15,laptop,550,380,716,466,frame2424.jpg
16,laptop,586,424,810,700,frame2424.jpg
1,keyboard,638,566,722,672,frame2425.jpg
3,cell phone,370,534,417,568,frame2425.jpg
4,cell phone,343,302,377,330,frame2425.jpg
7,laptop,194,384,463,538,frame2425.jpg
10,laptop,726,370,878,490,frame2425.jpg
14,laptop,549,380,715,466,frame2425.jpg
15,laptop,586,425,810,700,frame2425.jpg
0,cell phone,370,534,417,568,frame2426.jpg
1,keyboard,638,565,722,671,frame2426.jpg
3,cell phone,341,302,376,331,frame2426.jpg
7,laptop,191,384,463,538,frame2426.jpg
10,laptop,726,371,876,490,frame2426.jpg
13,laptop,550,380,716,466,frame2426.jpg
14,laptop,586,424,810,700,frame2426.jpg
0,keyboard,291,462,393,524,frame2427.jpg
1,tie,886,498,940,646,frame2427.jpg
3,keyboard,636,566,722,672,frame2427.jpg
4,mouse,370,534,416,568,frame2427.jpg
5,cell phone,370,534,417,568,frame2427.jpg
6,cell phone,344,302,376,332,frame2427.jpg
9,laptop,197,385,462,537,frame2427.jpg
13,laptop,726,371,872,490,frame2427.jpg
16,laptop,549,380,715,466,frame2427.jpg
17,laptop,586,424,810,700,frame2427.jpg
1,keyboard,638,566,722,672,frame2428.jpg
2,cell phone,370,534,417,568,frame2428.jpg
3,cell phone,344,302,376,330,frame2428.jpg
7,laptop,192,383,464,538,frame2428.jpg
9,laptop,726,371,876,490,frame2428.jpg
13,laptop,549,380,716,465,frame2428.jpg
14,laptop,586,425,810,700,frame2428.jpg
0,keyboard,290,462,392,524,frame2429.jpg
2,keyboard,636,566,722,672,frame2429.jpg
3,mouse,370,534,417,568,frame2429.jpg
4,cell phone,370,534,417,568,frame2429.jpg
5,cell phone,344,301,377,330,frame2429.jpg
9,laptop,193,384,463,538,frame2429.jpg
12,laptop,727,371,872,490,frame2429.jpg
15,laptop,550,380,716,465,frame2429.jpg
16,laptop,586,424,810,700,frame2429.jpg
1,keyboard,636,565,722,671,frame2430.jpg
2,mouse,370,535,416,567,frame2430.jpg
3,cell phone,370,534,416,568,frame2430.jpg
4,cell phone,340,302,376,330,frame2430.jpg
7,laptop,195,384,462,538,frame2430.jpg
11,laptop,726,371,872,490,frame2430.jpg
14,laptop,586,425,811,701,frame2430.jpg
15,laptop,549,380,715,466,frame2430.jpg
1,keyboard,638,565,722,671,frame2431.jpg
2,cell phone,340,301,377,330,frame2431.jpg
3,cell phone,370,534,417,568,frame2431.jpg
6,laptop,234,383,462,539,frame2431.jpg
10,laptop,726,371,872,490,frame2431.jpg
13,laptop,549,379,715,466,frame2431.jpg
14,laptop,586,425,810,701,frame2431.jpg
1,keyboard,638,566,722,672,frame2432.jpg
2,mouse,370,535,416,567,frame2432.jpg
3,cell phone,370,534,417,568,frame2432.jpg
4,cell phone,341,301,376,330,frame2432.jpg
7,laptop,200,382,464,540,frame2432.jpg
12,laptop,726,371,872,490,frame2432.jpg
14,laptop,550,379,716,466,frame2432.jpg
15,laptop,586,425,810,700,frame2432.jpg
0,mouse,370,535,416,567,frame2433.jpg
2,keyboard,637,565,722,672,frame2433.jpg
3,cell phone,370,534,416,568,frame2433.jpg
4,cell phone,340,302,376,330,frame2433.jpg
7,laptop,194,383,463,538,frame2433.jpg
11,laptop,726,371,870,490,frame2433.jpg
14,laptop,549,379,715,466,frame2433.jpg
15,laptop,586,425,810,700,frame2433.jpg
0,keyboard,300,463,389,524,frame2434.jpg
1,keyboard,637,564,722,672,frame2434.jpg
3,mouse,730,574,778,624,frame2434.jpg
4,cell phone,370,534,417,568,frame2434.jpg
5,cell phone,340,301,378,330,frame2434.jpg
9,laptop,193,384,464,538,frame2434.jpg
12,laptop,727,371,871,490,frame2434.jpg
15,laptop,549,380,715,466,frame2434.jpg
16,laptop,586,425,810,700,frame2434.jpg
0,mouse,725,575,778,619,frame2435.jpg
2,keyboard,637,564,722,672,frame2435.jpg
3,cell phone,370,534,416,568,frame2435.jpg
4,cell phone,338,300,378,331,frame2435.jpg
7,laptop,194,384,463,538,frame2435.jpg
12,laptop,726,371,872,490,frame2435.jpg
14,laptop,549,380,715,466,frame2435.jpg
15,laptop,586,425,810,700,frame2435.jpg
0,cell phone,370,534,416,568,frame2436.jpg
2,keyboard,637,564,722,672,frame2436.jpg
3,cell phone,340,302,376,330,frame2436.jpg
6,laptop,192,383,464,538,frame2436.jpg
9,laptop,727,371,871,490,frame2436.jpg
13,laptop,550,380,716,466,frame2436.jpg
14,laptop,586,426,810,700,frame2436.jpg
1,keyboard,636,564,722,672,frame2437.jpg
2,cell phone,370,534,416,568,frame2437.jpg
3,cell phone,339,301,377,330,frame2437.jpg
6,laptop,194,384,463,538,frame2437.jpg
9,laptop,727,371,870,490,frame2437.jpg
13,laptop,550,380,716,466,frame2437.jpg
14,laptop,586,426,810,700,frame2437.jpg
0,cell phone,228,300,258,342,frame2438.jpg
1,keyboard,637,564,722,672,frame2438.jpg
3,cell phone,370,534,416,568,frame2438.jpg
4,cell phone,341,301,376,330,frame2438.jpg
7,laptop,201,382,464,540,frame2438.jpg
10,laptop,727,371,868,489,frame2438.jpg
14,laptop,550,379,716,465,frame2438.jpg
15,laptop,586,425,810,700,frame2438.jpg
0,keyboard,298,463,388,524,frame2439.jpg
2,keyboard,637,564,722,672,frame2439.jpg
3,cell phone,370,534,416,568,frame2439.jpg
4,cell phone,341,302,376,330,frame2439.jpg
7,laptop,195,384,463,539,frame2439.jpg
10,laptop,726,371,866,488,frame2439.jpg
14,laptop,550,380,716,466,frame2439.jpg
15,laptop,586,426,810,700,frame2439.jpg
1,keyboard,637,564,722,672,frame2440.jpg
2,cell phone,370,534,416,568,frame2440.jpg
3,cell phone,340,302,377,330,frame2440.jpg
6,laptop,192,384,463,538,frame2440.jpg
9,laptop,726,371,868,490,frame2440.jpg
13,laptop,550,380,716,466,frame2440.jpg
14,laptop,586,426,810,700,frame2440.jpg
1,keyboard,637,564,722,672,frame2441.jpg
2,cell phone,370,534,416,568,frame2441.jpg
3,cell phone,342,301,378,330,frame2441.jpg
6,laptop,192,383,464,538,frame2441.jpg
9,laptop,726,371,870,489,frame2441.jpg
13,laptop,549,379,715,466,frame2441.jpg
14,laptop,586,424,810,700,frame2441.jpg
1,keyboard,637,564,722,672,frame2442.jpg
2,cell phone,370,534,416,568,frame2442.jpg
3,cell phone,340,301,377,330,frame2442.jpg
6,laptop,192,383,463,538,frame2442.jpg
10,laptop,726,371,870,490,frame2442.jpg
13,laptop,549,380,715,466,frame2442.jpg
14,laptop,585,425,810,700,frame2442.jpg
1,keyboard,637,564,722,672,frame2443.jpg
2,mouse,370,534,417,568,frame2443.jpg
3,cell phone,370,534,417,568,frame2443.jpg
4,cell phone,340,302,376,330,frame2443.jpg
8,laptop,193,385,463,538,frame2443.jpg
10,laptop,726,371,872,490,frame2443.jpg
14,laptop,549,380,715,466,frame2443.jpg
15,laptop,586,425,810,700,frame2443.jpg
0,mouse,722,579,778,615,frame2444.jpg
1,keyboard,638,564,722,672,frame2444.jpg
3,cell phone,369,534,417,568,frame2444.jpg
4,cell phone,341,302,376,330,frame2444.jpg
7,laptop,193,384,464,538,frame2444.jpg
10,laptop,726,371,872,491,frame2444.jpg
14,laptop,549,380,715,466,frame2444.jpg
15,laptop,586,424,810,700,frame2444.jpg
0,keyboard,302,462,389,524,frame2445.jpg
1,keyboard,638,564,722,672,frame2445.jpg
3,cell phone,370,534,416,568,frame2445.jpg
4,cell phone,341,302,376,330,frame2445.jpg
7,laptop,194,384,463,538,frame2445.jpg
12,laptop,726,371,872,490,frame2445.jpg
14,laptop,550,379,716,466,frame2445.jpg
15,laptop,586,425,810,700,frame2445.jpg
1,keyboard,637,564,722,672,frame2446.jpg
2,cell phone,370,534,417,568,frame2446.jpg
3,cell phone,344,302,376,330,frame2446.jpg
6,laptop,193,383,463,538,frame2446.jpg
9,laptop,728,370,872,490,frame2446.jpg
13,laptop,550,380,716,466,frame2446.jpg
14,laptop,586,424,810,700,frame2446.jpg
0,keyboard,298,463,392,524,frame2447.jpg
2,keyboard,638,564,722,672,frame2447.jpg
3,cell phone,370,534,416,568,frame2447.jpg
4,cell phone,342,302,376,331,frame2447.jpg
7,laptop,250,382,463,538,frame2447.jpg
10,laptop,727,370,871,490,frame2447.jpg
14,laptop,549,380,715,465,frame2447.jpg
15,laptop,586,425,810,700,frame2447.jpg
1,keyboard,637,565,722,672,frame2448.jpg
2,mouse,370,535,416,567,frame2448.jpg
4,cell phone,370,535,416,567,frame2448.jpg
5,cell phone,346,304,376,333,frame2448.jpg
8,laptop,195,384,462,538,frame2448.jpg
12,laptop,726,371,870,489,frame2448.jpg
15,laptop,550,380,716,466,frame2448.jpg
16,laptop,586,425,810,700,frame2448.jpg
0,keyboard,638,565,722,671,frame2449.jpg
2,cell phone,370,535,416,567,frame2449.jpg
3,cell phone,346,304,376,332,frame2449.jpg
6,laptop,232,382,462,538,frame2449.jpg
9,laptop,726,371,870,489,frame2449.jpg
13,laptop,550,380,716,466,frame2449.jpg
14,laptop,586,424,810,700,frame2449.jpg
1,keyboard,300,462,390,524,frame2450.jpg
3,keyboard,638,565,722,671,frame2450.jpg
4,mouse,370,535,416,567,frame2450.jpg
5,cell phone,370,535,416,567,frame2450.jpg
6,cell phone,347,304,376,334,frame2450.jpg
9,laptop,211,381,462,538,frame2450.jpg
13,laptop,726,371,869,490,frame2450.jpg
16,laptop,550,380,716,465,frame2450.jpg
18,laptop,586,426,810,700,frame2450.jpg
0,keyboard,300,462,389,524,frame2451.jpg
1,tie,882,498,938,618,frame2451.jpg
2,keyboard,638,566,722,672,frame2451.jpg
4,cell phone,342,302,376,332,frame2451.jpg
5,cell phone,370,534,417,568,frame2451.jpg
10,laptop,193,385,464,538,frame2451.jpg
12,laptop,727,372,857,486,frame2451.jpg
15,laptop,550,380,716,466,frame2451.jpg
16,laptop,586,424,810,700,frame2451.jpg
0,keyboard,300,462,389,524,frame2452.jpg
2,tie,885,501,941,661,frame2452.jpg
3,keyboard,638,565,722,671,frame2452.jpg
4,cell phone,370,534,416,568,frame2452.jpg
5,cell phone,340,303,376,330,frame2452.jpg
9,laptop,193,384,464,537,frame2452.jpg
12,laptop,726,371,858,485,frame2452.jpg
15,laptop,550,380,716,466,frame2452.jpg
16,laptop,586,426,810,700,frame2452.jpg
0,cell phone,228,300,259,341,frame2453.jpg
1,keyboard,302,462,390,524,frame2453.jpg
3,keyboard,638,566,722,672,frame2453.jpg
4,mouse,370,535,416,567,frame2453.jpg
5,cell phone,341,303,376,330,frame2453.jpg
6,cell phone,370,534,416,568,frame2453.jpg
10,laptop,208,382,463,539,frame2453.jpg
13,laptop,727,372,854,484,frame2453.jpg
16,laptop,550,380,716,465,frame2453.jpg
17,laptop,586,425,810,700,frame2453.jpg
0,cell phone,228,301,258,340,frame2454.jpg
1,keyboard,292,462,394,524,frame2454.jpg
3,keyboard,638,565,722,671,frame2454.jpg
4,cell phone,370,534,416,568,frame2454.jpg
5,cell phone,342,302,376,331,frame2454.jpg
9,laptop,222,383,462,539,frame2454.jpg
12,laptop,727,372,852,484,frame2454.jpg
15,laptop,550,380,716,466,frame2454.jpg
16,laptop,586,425,811,700,frame2454.jpg
0,keyboard,292,463,393,524,frame2455.jpg
2,keyboard,638,565,722,672,frame2455.jpg
3,cell phone,370,534,416,567,frame2455.jpg
4,cell phone,341,302,377,330,frame2455.jpg
8,laptop,210,382,462,539,frame2455.jpg
11,laptop,726,373,848,482,frame2455.jpg
14,laptop,550,380,716,466,frame2455.jpg
15,laptop,586,425,809,700,frame2455.jpg
0,cell phone,228,299,259,341,frame2456.jpg
1,keyboard,290,462,393,524,frame2456.jpg
3,keyboard,637,565,722,672,frame2456.jpg
4,mouse,370,535,416,567,frame2456.jpg
5,cell phone,370,534,416,568,frame2456.jpg
6,cell phone,343,302,376,330,frame2456.jpg
10,laptop,194,384,464,537,frame2456.jpg
13,laptop,726,373,850,482,frame2456.jpg
16,laptop,549,380,716,466,frame2456.jpg
17,laptop,586,426,809,700,frame2456.jpg
0,keyboard,300,463,388,524,frame2457.jpg
2,keyboard,638,565,722,672,frame2457.jpg
3,cell phone,370,534,416,568,frame2457.jpg
4,cell phone,341,302,377,330,frame2457.jpg
8,laptop,196,385,462,538,frame2457.jpg
11,laptop,726,373,850,482,frame2457.jpg
14,laptop,550,380,716,466,frame2457.jpg
15,laptop,587,425,809,699,frame2457.jpg
0,keyboard,290,462,394,526,frame2458.jpg
2,keyboard,638,566,722,672,frame2458.jpg
3,cell phone,370,534,416,567,frame2458.jpg
4,cell phone,345,303,377,330,frame2458.jpg
8,laptop,208,382,463,538,frame2458.jpg
11,laptop,725,373,849,482,frame2458.jpg
14,laptop,549,380,716,466,frame2458.jpg
15,laptop,586,426,810,700,frame2458.jpg
1,keyboard,638,566,722,672,frame2459.jpg
2,cell phone,344,303,377,330,frame2459.jpg
3,mouse,370,535,416,567,frame2459.jpg
7,laptop,204,382,464,538,frame2459.jpg
10,laptop,726,373,851,482,frame2459.jpg
13,laptop,549,380,716,466,frame2459.jpg
14,laptop,586,425,810,700,frame2459.jpg
1,keyboard,637,565,722,672,frame2460.jpg
2,cell phone,370,534,417,568,frame2460.jpg
3,cell phone,345,304,376,331,frame2460.jpg
7,laptop,194,384,463,538,frame2460.jpg
10,laptop,726,373,848,481,frame2460.jpg
13,laptop,549,380,715,466,frame2460.jpg
14,laptop,586,426,809,700,frame2460.jpg
2,keyboard,637,565,722,672,frame2461.jpg
3,mouse,370,536,417,568,frame2461.jpg
4,cell phone,370,534,417,568,frame2461.jpg
5,cell phone,347,302,376,331,frame2461.jpg
9,laptop,193,384,464,538,frame2461.jpg
12,laptop,726,373,848,482,frame2461.jpg
15,laptop,549,380,715,465,frame2461.jpg
16,laptop,586,426,810,700,frame2461.jpg
0,cell phone,229,299,260,341,frame2462.jpg
1,keyboard,301,463,389,524,frame2462.jpg
4,keyboard,638,565,722,672,frame2462.jpg
5,cell phone,370,534,417,568,frame2462.jpg
6,cell phone,345,304,376,332,frame2462.jpg
11,laptop,193,384,464,538,frame2462.jpg
13,laptop,725,373,849,482,frame2462.jpg
16,laptop,549,379,715,466,frame2462.jpg
17,laptop,586,426,810,700,frame2462.jpg
0,keyboard,298,463,389,524,frame2463.jpg
2,keyboard,638,565,722,672,frame2463.jpg
3,cell phone,370,534,417,568,frame2463.jpg
4,cell phone,346,303,376,332,frame2463.jpg
8,laptop,193,385,463,538,frame2463.jpg
11,laptop,725,373,849,482,frame2463.jpg
14,laptop,549,379,716,466,frame2463.jpg
15,laptop,586,425,808,700,frame2463.jpg
0,keyboard,302,462,388,524,frame2464.jpg
2,keyboard,638,565,722,672,frame2464.jpg
3,cell phone,370,535,417,568,frame2464.jpg
4,cell phone,344,303,377,331,frame2464.jpg
7,laptop,192,384,463,538,frame2464.jpg
11,laptop,725,373,850,482,frame2464.jpg
14,laptop,549,379,715,466,frame2464.jpg
15,laptop,586,425,808,700,frame2464.jpg
0,keyboard,300,463,388,524,frame2465.jpg
2,keyboard,638,566,722,672,frame2465.jpg
3,mouse,370,535,417,567,frame2465.jpg
4,cell phone,370,534,417,568,frame2465.jpg
5,cell phone,346,304,376,331,frame2465.jpg
8,laptop,194,384,463,538,frame2465.jpg
12,laptop,726,372,846,480,frame2465.jpg
15,laptop,549,379,715,466,frame2465.jpg
16,laptop,586,426,810,700,frame2465.jpg
1,keyboard,638,565,722,672,frame2466.jpg
2,tie,888,512,944,714,frame2466.jpg
3,cell phone,346,303,376,330,frame2466.jpg
4,mouse,370,534,417,568,frame2466.jpg
5,cell phone,370,534,417,568,frame2466.jpg
8,laptop,192,384,463,538,frame2466.jpg
